#Identifiant_A;Identifiant_R;Libellé_du_site;Adresse;Complément_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Libellé_du_type_d_automate;Nb_automtate_par_type;Type_de_distributeur_DAB;geoloc
12233A;652860;LOURDES;31 AVENUE GENERAL BARON MARANSIN;;;65100;LOURDES;65286;FRANCE;CPT BILLET;2;;43.097012,-0.045843
12233A;652860;LOURDES;31 AVENUE GENERAL BARON MARANSIN;;;65100;LOURDES;65286;FRANCE;NBC1I NABANCO IER;1;;43.097012,-0.045843
12237A;653040;MAUBOURGUET;100 ALLEES LARBANES;;;65700;MAUBOURGUET;65304;FRANCE;URNE;1;;43.467355,0.03474
12242A;653310;ODOS BP;2 RUE DE LAPASSADE;;;65310;ODOS;65331;FRANCE;URNE;1;;43.19686,0.05499
12253A;653880;SAINT LARY SOULAN BP;1 ALLEE DU CORPS FRANC POMMIES;;;65170;ST LARY SOULAN;65388;FRANCE;DAB;1;;42.815934,0.32032
12259A;654170;SEMEAC BP;9 AVENUE DE TOULOUSE;;;65600;SEMEAC;65417;FRANCE;NAB1I NABUCCO IER;1;;43.232625,0.092263
12259A;654170;SEMEAC BP;9 AVENUE DE TOULOUSE;;;65600;SEMEAC;65417;FRANCE;URNE;1;;43.232625,0.092263
12263A;654400;TARBES JAURES;1 PLACE JEAN JAURES;;;65000;TARBES;65440;FRANCE;DAB;2;Interne;43.232173,0.077534
12263A;654400;TARBES JAURES;1 PLACE JEAN JAURES;;;65000;TARBES;65440;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;43.232173,0.077534
12268A;654600;VIC EN BIGORRE BP;8 BOULEVARD GALLIENI;;;65500;VIC EN BIGORRE;65460;FRANCE;CPT BILLET;1;;43.386375,0.054139
12268A;654600;VIC EN BIGORRE BP;8 BOULEVARD GALLIENI;;;65500;VIC EN BIGORRE;65460;FRANCE;LISA 2;1;;43.386375,0.054139
12274A;659220;TARBES PRADEAU;2 RUE GASTON DREYT;;;65000;TARBES;65440;FRANCE;CPT BILLET;1;;43.231833,0.065141
12274A;659220;TARBES PRADEAU;2 RUE GASTON DREYT;;;65000;TARBES;65440;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;43.231833,0.065141
12285A;660030;AMELIE LES BAINS PALALDA PAL BP;16 RUE JOSEPH COSTE;;;66110;AMELIE LES BAINS PALALDA;66003;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;42.473609,2.669152
12289A;660080;ARGELES SUR MER;8 ROUTE NATIONALE 114;;;66700;ARGELES SUR MER;66008;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;42.546699,3.021311
12289A;660080;ARGELES SUR MER;8 ROUTE NATIONALE 114;;;66700;ARGELES SUR MER;66008;FRANCE;DAB;1;Interne;42.546699,3.021311
12297A;660180;PERPIGNAN CLEMENCEAU BP;19 BOULEVARD GEORGES CLEMENCEAU;;;66000;PERPIGNAN;66136;FRANCE;CPT BILLET;1;;42.700528,2.890774
12297A;660180;PERPIGNAN CLEMENCEAU BP;19 BOULEVARD GEORGES CLEMENCEAU;;;66000;PERPIGNAN;66136;FRANCE;URNE;1;;42.700528,2.890774
12303A;660250;BOURG MADAME BP;3 AVENUE DES GUINGUETTES;;;66760;BOURG MADAME;66025;FRANCE;NBC1I NABANCO IER;1;;42.433332,1.945757
12317A;660530;COLLIOURE BP;1 RUE DE LA REPUBLIQUE;;;66190;COLLIOURE;66053;FRANCE;CPT BILLET;1;;42.525337,3.082721
12317A;660530;COLLIOURE BP;1 RUE DE LA REPUBLIQUE;;;66190;COLLIOURE;66053;FRANCE;LISA 2;1;;42.525337,3.082721
12326A;660650;ELNE;3 RUE JEAN JAURES;;;66200;ELNE;66065;FRANCE;NBC1I NABANCO IER;1;;42.601544,2.971407
12350A;661080;MILLAS BP;2 RUE DE LA POSTE;;;66170;MILLAS;66108;FRANCE;DAB;1;Externe;42.692561,2.696046
12350A;661080;MILLAS BP;2 RUE DE LA POSTE;;;66170;MILLAS;66108;FRANCE;NBC1I NABANCO IER;1;;42.692561,2.696046
12362D;281930;CHARTRES PARC FORMATION DSEM;56 RUE DE REVERDY;;;28000;CHARTRES;28085;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;2;;48.438775,1.484585
12369A;661360;PERPIGNAN ARAGO RP;QUAI DE BARCELONE;;;66000;PERPIGNAN;66136;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;42.697054,2.88923
12377A;661480;PORT VENDRES BP;9 QUAI PIERRE FORGAS;;;66660;PORT VENDRES;66148;FRANCE;LISA 2;1;;42.517828,3.106614
12383A;661640;RIVESALTES BP;24 AVENUE VICTOR HUGO;;;66600;RIVESALTES;66164;FRANCE;CPT BILLET;1;;42.769647,2.869493
12383A;661640;RIVESALTES BP;24 AVENUE VICTOR HUGO;;;66600;RIVESALTES;66164;FRANCE;DAB;1;Interne;42.769647,2.869493
12383A;661640;RIVESALTES BP;24 AVENUE VICTOR HUGO;;;66600;RIVESALTES;66164;FRANCE;URNE;1;;42.769647,2.869493
12386A;661670;SAILLAGOUSE BP;PLACE OLIVA;;;66800;SAILLAGOUSE;66167;FRANCE;CPT BILLET;1;;42.458012,2.038738
12388A;661710;SAINT CYPRIEN VILLAGE BP;RUE JULES LEMAITRE;;;66750;ST CYPRIEN;66171;FRANCE;LISA 2;1;;42.617448,3.004641
12392A;661750;SAINT GENIS DES FONTAINES BP;76 B AVENUE MARECHAL JOFFRE;;;66740;ST GENIS DES FONTAINES;66175;FRANCE;NBC1I NABANCO IER;1;;42.543835,2.921381
12397A;661800;SAINT LAURENT DE LA SALANQUE;3 AVENUE DU MARECHAL JOFFRE;;;66250;ST LAURENT DE LA SALANQUE;66180;FRANCE;DAB;1;Interne;42.772684,2.987116
12398A;661820;SAINTE MARIE LA MER BP;AVENUE DES MIMOSAS;;;66470;STE MARIE LA MER;66182;FRANCE;CPT BILLET;1;;42.725824,3.019159
12398A;661820;SAINTE MARIE LA MER BP;AVENUE DES MIMOSAS;;;66470;STE MARIE LA MER;66182;FRANCE;URNE;1;;42.725824,3.019159
12406A;661950;LE SOLER BP;PLACE DE LA REPUBLIQUE;;;66270;LE SOLER;66195;FRANCE;DAB;1;Interne;42.682287,2.794282
12406A;661950;LE SOLER BP;PLACE DE LA REPUBLIQUE;;;66270;LE SOLER;66195;FRANCE;URNE;1;;42.682287,2.794282
12414A;662100;THUIR;2 AVENUE FRANCOIS MITTERRAND;;;66300;THUIR;66210;FRANCE;CPT BILLET;1;;42.631802,2.758782
12414A;662100;THUIR;2 AVENUE FRANCOIS MITTERRAND;;;66300;THUIR;66210;FRANCE;DAB;1;Externe;42.631802,2.758782
12414A;662100;THUIR;2 AVENUE FRANCOIS MITTERRAND;;;66300;THUIR;66210;FRANCE;NBC1I NABANCO IER;1;;42.631802,2.758782
12414A;662100;THUIR;2 AVENUE FRANCOIS MITTERRAND;;;66300;THUIR;66210;FRANCE;URNE;1;;42.631802,2.758782
12415A;662120;TORREILLES BP;6 PLACE DE LA POSTE;;;66440;TORREILLES;66212;FRANCE;DAB;1;Externe;42.754375,2.992745
12415A;662120;TORREILLES BP;6 PLACE DE LA POSTE;;;66440;TORREILLES;66212;FRANCE;URNE;1;;42.754375,2.992745
12431A;662570;PERPIGNAN REPUBLIQUE BP;2 RUE LOUIS CAULAS;;;66000;PERPIGNAN;66136;FRANCE;DAB;1;Interne;42.697899,2.895382
12443A;669220;CANET EN ROUSSILLON PRINCIPAL;3 AVENUE DE CATALOGNE;;;66140;CANET EN ROUSSILLON;66037;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;42.69627,3.032575
12443A;669220;CANET EN ROUSSILLON PRINCIPAL;3 AVENUE DE CATALOGNE;;;66140;CANET EN ROUSSILLON;66037;FRANCE;NAB1I NABUCCO IER;1;;42.69627,3.032575
12443A;669220;CANET EN ROUSSILLON PRINCIPAL;3 AVENUE DE CATALOGNE;;;66140;CANET EN ROUSSILLON;66037;FRANCE;URNE;1;;42.69627,3.032575
12454D;933680;ROISSY ADP TRAVEL AEROGARE 2 BP;AEROGARE 2;ROISSY ADP TRAVEL;;93290;TREMBLAY EN FRANCE;93073;FRANCE;DAB;1;Interne;48.955306,2.575336
12460A;669400;PERPIGNAN MOULIN A VENT;7 AVENUE PAUL ALDUY;;;66100;PERPIGNAN;66136;FRANCE;DAB;2;Externe;42.684005,2.902035
12460A;669400;PERPIGNAN MOULIN A VENT;7 AVENUE PAUL ALDUY;;;66100;PERPIGNAN;66136;FRANCE;DAB;2;Interne;42.684005,2.902035
12460A;669400;PERPIGNAN MOULIN A VENT;7 AVENUE PAUL ALDUY;;;66100;PERPIGNAN;66136;FRANCE;NBC1I NABANCO IER;1;;42.684005,2.902035
12462A;669440;PERPIGNAN SAINT ASSISCLE BP;8 RUE GEORGES BUFFON;;;66000;PERPIGNAN;66136;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;42.695175,2.876971
12462A;669440;PERPIGNAN SAINT ASSISCLE BP;8 RUE GEORGES BUFFON;;;66000;PERPIGNAN;66136;FRANCE;LISA 2;1;;42.695175,2.876971
12464A;669510;PERPIGNAN LE VERNET POLYGONE;75 AVENUE PAUL GAUGUIN;;;66000;PERPIGNAN;66136;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;42.718295,2.889812
12464A;669510;PERPIGNAN LE VERNET POLYGONE;75 AVENUE PAUL GAUGUIN;;;66000;PERPIGNAN;66136;FRANCE;CPT BILLET;1;;42.718295,2.889812
12471A;670060;STRASBOURG 22 NOVEMBRE;3A RUE DU 22 NOVEMBRE;;;67000;STRASBOURG;67482;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;48.582888,7.741121
12471A;670060;STRASBOURG 22 NOVEMBRE;3A RUE DU 22 NOVEMBRE;;;67000;STRASBOURG;67482;FRANCE;URNE;1;;48.582888,7.741121
12477A;670210;BARR BP;3 RUE DU GENERAL VANDENBERG;;;67140;BARR;67021;FRANCE;LISA 2;1;;48.407603,7.454444
12479A;670280;BENFELD BP;2 RUE DU GENERAL LECLERC;;;67230;BENFELD;67028;FRANCE;URNE;1;;48.371216,7.592584
12483A;670430;BISCHHEIM CHEVAL BLANC BP;31 ROUTE DE BISCHWILLER;;;67800;BISCHHEIM;67043;FRANCE;CHANGEUR MONNAIE;1;;48.614141,7.752136
12485A;670460;BISCHWILLER BP;53 RUE GEORGES CLEMENCEAU;;;67240;BISCHWILLER;67046;FRANCE;CPT BILLET;1;;48.766849,7.856193
12494A;670670;BRUMATH;4 PLACE VICTOR FISCHER;;;67170;BRUMATH;67067;FRANCE;DAB;1;Interne;48.730567,7.711804
12494A;670670;BRUMATH;4 PLACE VICTOR FISCHER;;;67170;BRUMATH;67067;FRANCE;URNE;1;;48.730567,7.711804
12520A;671300;ERSTEIN BP;23 RUE DU GENERAL DE GAULLE;;;67150;ERSTEIN;67130;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;48.420904,7.663411
12520A;671300;ERSTEIN BP;23 RUE DU GENERAL DE GAULLE;;;67150;ERSTEIN;67130;FRANCE;URNE;1;;48.420904,7.663411
12529A;671520;GEISPOLSHEIM BP;75 RUE DU GENERAL DE GAULLE;;;67118;GEISPOLSHEIM;67152;FRANCE;CPT BILLET;1;;48.516451,7.648518
12529A;671520;GEISPOLSHEIM BP;75 RUE DU GENERAL DE GAULLE;;;67118;GEISPOLSHEIM;67152;FRANCE;DAB;1;Externe;48.516451,7.648518
12543A;671800;HAGUENAU THEATRE;1 PLACE DU MAIRE GUNTZ;;;67500;HAGUENAU;67180;FRANCE;CPT BILLET;1;;48.812787,7.789992
12543A;671800;HAGUENAU THEATRE;1 PLACE DU MAIRE GUNTZ;;;67500;HAGUENAU;67180;FRANCE;NBC1I NABANCO IER;1;;48.812787,7.789992
12543A;671800;HAGUENAU THEATRE;1 PLACE DU MAIRE GUNTZ;;;67500;HAGUENAU;67180;FRANCE;URNE;1;;48.812787,7.789992
12554A;672020;HOCHFELDEN BP;1 PLACE DE LA REPUBLIQUE;;;67270;HOCHFELDEN;67202;FRANCE;CPT BILLET;1;;48.756789,7.570111
12555A;672040;HOENHEIM BP;21 RUE DE LA ROBERTSAU;;;67800;HOENHEIM;67204;FRANCE;NBC1I NABANCO IER;1;;48.621778,7.762864
12563A;672260;ITTENHEIM BP;1 RUE DU HAHNENBERG;;;67117;ITTENHEIM;67226;FRANCE;CPT BILLET;1;;48.605174,7.591949
12579A;672820;MARLENHEIM BP;79 RUE DU GENERAL DE GAULLE;;;67520;MARLENHEIM;67282;FRANCE;NAB1I NABUCCO IER;1;;48.621361,7.487153
12584A;673000;MOLSHEIM;10 AVENUE DE LA GARE;;;67120;MOLSHEIM;67300;FRANCE;DAB;1;Interne;48.539559,7.493838
12592A;673130;MUTZIG BP;60 RUE DU MARECHAL FOCH;;;67190;MUTZIG;67313;FRANCE;DAB;1;Externe;48.538566,7.45375
12595A;673240;NIEDERBRONN LES BAINS BP;6 RUE CLEMENCEAU;;;67110;NIEDERBRONN LES BAINS;67324;FRANCE;NBC1I NABANCO IER;1;;48.950693,7.641967
12606A;673430;OBERHAUSBERGEN BP;74 A ROUTE DE SAVERNE;;;67205;OBERHAUSBERGEN;67343;FRANCE;LISA 2;1;;48.604491,7.688991
12609A;673480;OBERNAI;9 PLACE DES FINES HERBES;RESIDENCE LE BEFFROI;;67210;OBERNAI;67348;FRANCE;URNE;1;;48.461258,7.483004
12618A;673650;OSTWALD BP;70 RUE DU GENERAL LECLERC;;;67540;OSTWALD;67365;FRANCE;CPT BILLET;1;;48.55056,7.710755
12622A;673720;VAL DE MODER BP;3B RUE DE LA GARE;;PFAFFENHOFFEN;67350;VAL DE MODER;67372;FRANCE;LISA 2;1;;48.844756,7.613504
