#Identifiant_A;Identifiant_R;Libellé_du_site;Adresse;Complément_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Libellé_du_type_d_automate;Nb_automtate_par_type;Type_de_distributeur_DAB;geoloc
01878A;122020;RODEZ R P;PLACE DU MARECHAL FOCH;;;12000;RODEZ;12202;FRANCE;DAB;1;;44.349349,2.572797
01934A;123000;VILLEFRANCHE DE ROUERGUE;PLACE JEAN JAURES;;;12200;VILLEFRANCHE DE ROUERGUE;12300;FRANCE;CMI1X COPIEUR N&B XEROX;1;;44.35281,2.034302
01937A;123050;VIVIEZ BP;AVENUE PAUL RAMADIER;;;12110;VIVIEZ;12305;FRANCE;CPT BILLET;1;;44.556447,2.21773
01955A;130050;AUBAGNE COQUIERES;RUE DES COQUIERES;;;13400;AUBAGNE;13005;FRANCE;DAB;2;Interne;43.293017,5.566922
01957A;130070;AURIOL BP;CHEMIN DU CIMETIERE;IMMEUBLE L AGORA;;13390;AURIOL;13007;FRANCE;CPT BILLET;1;;43.366661,5.635358
01963A;130150;BOUC BEL AIR;PLACE JEAN MOULIN;;;13320;BOUC BEL AIR;13015;FRANCE;URNE;1;;43.451127,5.412855
06014A;334980;SALLES;21 RUE DU CHATEAU;;;33770;SALLES;33498;FRANCE;URNE;1;;44.549186,-0.868619
06024A;335190;LE TAILLAN MEDOC BP;8 PLACE CHARLES DE GAULLE;;;33320;LE TAILLAN MEDOC;33519;FRANCE;NBC1I NABANCO IER;1;;44.905615,-0.668443
01964A;130160;LA BOUILLADISSE BP;BOULEVARD FRANCIS CAPUANO;;;13720;LA BOUILLADISSE;13016;FRANCE;LISA 2;1;;43.394451,5.594386
06026A;335220;TALENCE;262 COURS GAMBETTA;;;33400;TALENCE;33522;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;44.812689,-0.590514
06026A;335220;TALENCE;262 COURS GAMBETTA;;;33400;TALENCE;33522;FRANCE;DAB;1;Externe;44.812689,-0.590514
01970A;130220;CASSIS BP;3 RUE DE L ARENE;;;13260;CASSIS;13022;FRANCE;DAB;1;Interne;43.213727,5.539899
06026A;335220;TALENCE;262 COURS GAMBETTA;;;33400;TALENCE;33522;FRANCE;LISA 2;2;;44.812689,-0.590514
06034A;335350;TRESSES BP;1 AVENUE DES ECOLES;;;33370;TRESSES;33535;FRANCE;CPT BILLET;1;;44.848204,-0.463211
06034A;335350;TRESSES BP;1 AVENUE DES ECOLES;;;33370;TRESSES;33535;FRANCE;DAB;1;Externe;44.848204,-0.463211
01976A;130280;LA CIOTAT;30 AVENUE MARECHAL GALLIENI;;;13600;LA CIOTAT;13028;FRANCE;CPT BILLET;2;;43.175855,5.604187
06039A;335400;VENDAYS MONTALIVET BP;RUE DE LA POSTE;;;33930;VENDAYS MONTALIVET;33540;FRANCE;DAB;1;Externe;45.355564,-1.060247
06039A;335400;VENDAYS MONTALIVET BP;RUE DE LA POSTE;;;33930;VENDAYS MONTALIVET;33540;FRANCE;URNE;1;;45.355564,-1.060247
01979A;130310;LA DESTROUSSE BP;4 ROUTE DE PEYPIN;;;13112;LA DESTROUSSE;13031;FRANCE;CPT BILLET;1;;43.377236,5.597722
06050A;335550;MARCHEPRIME BP;AVENUE DE LA REPUBLIQUE;IMMEUBLE LES PORTES DU PARC;;33380;MARCHEPRIME;33555;FRANCE;CPT BILLET;1;;44.691804,-0.854211
06055A;335760;PESSAC ARAGO BP;ESPLANADE ALCIDE BONTOU;CENTRE COMMERCIAL ARAGO;;33600;PESSAC;33318;FRANCE;URNE;1;;44.798227,-0.6441
01983A;130350;EYGUIERES;16 FAUBOURG REYRE;;;13430;EYGUIERES;13035;FRANCE;DAB;1;Externe;43.6951,5.033385
06063A;335920;CENON JEAN JAURES BP;52 AVENUE JEAN JAURES;;;33150;CENON;33119;FRANCE;DAB;1;Externe;44.855406,-0.535467
01983A;130350;EYGUIERES;16 FAUBOURG REYRE;;;13430;EYGUIERES;13035;FRANCE;URNE;1;;43.6951,5.033385
06067A;335960;LORMONT 4 PAVILLONS BP;CENTRE COMMERCIAL DES 4 PAVILLONS;;;33310;LORMONT;33249;FRANCE;NBC1I NABANCO IER;1;;44.86628,-0.517536
01985A;130370;LA FARE LES OLIVIERS BP;20 COURS ARISTIDE BRIAND;;;13580;LA FARE LES OLIVIERS;13037;FRANCE;CPT BILLET;1;;43.549427,5.193719
06067A;335960;LORMONT 4 PAVILLONS BP;CENTRE COMMERCIAL DES 4 PAVILLONS;;;33310;LORMONT;33249;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;44.86628,-0.517536
06068A;335970;BORDEAUX BENAUGE BP;RUE ALEXANDER FLEMING;CENTRE COMMERCIAL DES BASTIDES;;33100;BORDEAUX;33063;FRANCE;NBC1I NABANCO IER;1;;44.843832,-0.542458
01987A;130390;FOS SUR MER LES PINS BP;10 BOULEVARD DE MEGLE;;;13270;FOS SUR MER;13039;FRANCE;DAB;1;Interne;43.444832,4.94238
06068A;335970;BORDEAUX BENAUGE BP;RUE ALEXANDER FLEMING;CENTRE COMMERCIAL DES BASTIDES;;33100;BORDEAUX;33063;FRANCE;URNE;1;;44.843832,-0.542458
06072A;336020;FLOIRAC BP;CENTRE COMMERCIAL DRAVEMONT;;;33270;FLOIRAC;33167;FRANCE;CPT BILLET;1;;44.845029,-0.511381
06074A;336040;BORDEAUX ACHARD BP;196 RUE ACHARD;;;33300;BORDEAUX;33063;FRANCE;DAB;1;Externe;44.873476,-0.546263
01989A;130410;GARDANNE;RUE JULES FERRY;CITE ADMINISTRATIVE;;13120;GARDANNE;13041;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;43.452826,5.468963
06074A;336040;BORDEAUX ACHARD BP;196 RUE ACHARD;;;33300;BORDEAUX;33063;FRANCE;URNE;1;;44.873476,-0.546263
01990A;130420;GEMENOS BP;11 COURS PASTEUR;;;13420;GEMENOS;13042;FRANCE;DAB;1;Interne;43.296894,5.62865
06079A;336100;EYSINES MIGRON BP;PLACE FLORALE;;;33320;EYSINES;33162;FRANCE;LISA 2;1;;44.868689,-0.635857
01991A;130430;GIGNAC LA NERTHE;ALLEE DE LA POUSSARAQUE;;LAURE;13180;GIGNAC LA NERTHE;13043;FRANCE;DAB;1;Interne;43.387012,5.225596
06079A;336100;EYSINES MIGRON BP;PLACE FLORALE;;;33320;EYSINES;33162;FRANCE;URNE;1;;44.868689,-0.635857
01992A;130440;GRANS BP;5 BOULEVARD VICTOR JAUFFRET;;;13450;GRANS;13044;FRANCE;URNE;1;;43.608247,5.064229
06087A;336270;MERIGNAC MONDESIR BP;21 AVENUE DE LA MARNE;;;33700;MERIGNAC;33281;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;44.836929,-0.620816
14114A;742680;SEYNOD;20 PLACE SAINT JEAN;;;74600;SEYNOD;74268;FRANCE;URNE;1;;45.887263,6.101336
01996A;130480;JOUQUES BP;36 BOULEVARD DE LA REPUBLIQUE;;;13490;JOUQUES;13048;FRANCE;CPT BILLET;1;;43.637182,5.640588
06087A;336270;MERIGNAC MONDESIR BP;21 AVENUE DE LA MARNE;;;33700;MERIGNAC;33281;FRANCE;CPT BILLET;1;;44.836929,-0.620816
14115A;742690;SEYSSEL BP;22 PLACE DE L ORME;;;74910;SEYSSEL;74269;FRANCE;NBC1I NABANCO IER;1;;45.958922,5.835435
01998A;130500;LAMBESC;23 BOULEVARD DE LA REPUBLIQUE;;;13410;LAMBESC;13050;FRANCE;CPT BILLET;1;;43.65454,5.263506
06096A;339220;BORDEAUX BASTIDE;80 AVENUE THIERS;;;33100;BORDEAUX;33063;FRANCE;CPT BILLET;1;;44.843457,-0.555382
14119A;742760;TANINGES BP;RUE DES ARCADES;;;74440;TANINGES;74276;FRANCE;CPT BILLET;1;;46.108277,6.592298
06096A;339220;BORDEAUX BASTIDE;80 AVENUE THIERS;;;33100;BORDEAUX;33063;FRANCE;NBC1I NABANCO IER;1;;44.843457,-0.555382
14122A;742800;THONES BP;PLACE DE L HOTEL DE VILLE;;;74230;THONES;74280;FRANCE;DAB;1;Externe;45.882118,6.324585
01998A;130500;LAMBESC;23 BOULEVARD DE LA REPUBLIQUE;;;13410;LAMBESC;13050;FRANCE;NBC1I NABANCO IER;1;;43.65454,5.263506
06099A;339250;BORDEAUX MARITIME;130 COURS EDOUARD VAILLANT;;;33300;BORDEAUX;33063;FRANCE;NBC1I NABANCO IER;1;;44.864459,-0.56354
14123A;742810;THONON LES BAINS;8 PLACE JULES MERCIER;;;74200;THONON LES BAINS;74281;FRANCE;DAB;2;Interne;46.369961,6.478613
06101A;339270;BORDEAUX LES CHARTRONS;3 COURS SAINT LOUIS;;;33300;BORDEAUX;33063;FRANCE;DAB;1;Externe;44.855394,-0.571995
14143A;743360;ANNECY PARMELAN BP;25 AVENUE DU PARMELAN;;;74000;ANNECY;74010;FRANCE;CPT BILLET;1;;45.906045,6.133206
02003A;130550;MARSEILLE COLBERT;25 RUE COLBERT;;;13001;MARSEILLE;13201;FRANCE;LISA 2;2;;43.29931,5.373842
06101A;339270;BORDEAUX LES CHARTRONS;3 COURS SAINT LOUIS;;;33300;BORDEAUX;33063;FRANCE;NBC1I NABANCO IER;1;;44.855394,-0.571995
14143A;743360;ANNECY PARMELAN BP;25 AVENUE DU PARMELAN;;;74000;ANNECY;74010;FRANCE;DAB;1;Externe;45.906045,6.133206
06102A;339280;BORDEAUX LES SALINIERES BP;18 COURS VICTOR HUGO;;;33000;BORDEAUX;33063;FRANCE;CPT BILLET;2;;44.835838,-0.567027
14153A;749230;LE FAYET BP;106 AVENUE DE LA GARE;;;74190;LE FAYET;74236;FRANCE;CPT BILLET;1;;45.917018,6.707776
02004A;130560;MARTIGUES FERRIERES;3 BOULEVARD HELENE FOURNIER;;;13500;MARTIGUES;13056;FRANCE;LISA 2;1;;43.41361,5.057001
06102A;339280;BORDEAUX LES SALINIERES BP;18 COURS VICTOR HUGO;;;33000;BORDEAUX;33063;FRANCE;LISA 2;1;;44.835838,-0.567027
14153A;749230;LE FAYET BP;106 AVENUE DE LA GARE;;;74190;LE FAYET;74236;FRANCE;DAB;1;Externe;45.917018,6.707776
06103A;339290;BORDEAUX SAINT JEAN BP;205 COURS DE LA MARNE;;;33800;BORDEAUX;33063;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;44.82763,-0.558964
14157A;749280;ANNECY NOVEL BP;7 RUE LOUIS ARMAND;;;74000;ANNECY;74010;FRANCE;CHANGEUR MONNAIE;1;;45.918273,6.13092
02008A;130600;MEYREUIL BP;AVENUE JEAN PIERRE GOURNES;LE PLAN DE MEYREUIL;;13590;MEYREUIL;13060;FRANCE;URNE;1;;43.476156,5.498093
06104A;339300;BORDEAUX NANSOUTY BP;243 COURS DE LA SOMME;;;33800;BORDEAUX;33063;FRANCE;CHANGEUR MONNAIE;2;;44.820878,-0.572505
14157A;749280;ANNECY NOVEL BP;7 RUE LOUIS ARMAND;;;74000;ANNECY;74010;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;45.918273,6.13092
06104A;339300;BORDEAUX NANSOUTY BP;243 COURS DE LA SOMME;;;33800;BORDEAUX;33063;FRANCE;DAB;1;Interne;44.820878,-0.572505
14159A;749310;AMPHION LES BAINS BP;6 RUE DU PORT;;AMPHION LES BAINS;74500;PUBLIER;74218;FRANCE;CMI1R COPIEUR N&B RICOH;1;;46.394313,6.538941
02011A;130630;MIRAMAS;2 RUE DE L EGLISE;;;13140;MIRAMAS;13063;FRANCE;NBC1I NABANCO IER;1;;43.582916,5.000936
06104A;339300;BORDEAUX NANSOUTY BP;243 COURS DE LA SOMME;;;33800;BORDEAUX;33063;FRANCE;NBC1I NABANCO IER;1;;44.820878,-0.572505
14160A;749320;CLUSES LA SARDAGNE BP;2 AVENUE DES LACS;;;74300;CLUSES;74081;FRANCE;DAB;1;Externe;46.068903,6.561294
06110A;339360;VILLENAVE D ORNON PRINCIPAL;1 RUE JEAN LECOINTE;;;33140;VILLENAVE D ORNON;33550;FRANCE;DAB;1;Interne;44.782126,-0.566672
14163A;749460;ANNEMASSE PARC;1 PLACE DE LA POSTE;;;74100;ANNEMASSE;74012;FRANCE;LISA 2;2;;46.194876,6.2338
02012A;130640;MOLLEGES BP;12 AVENUE DU CHATEAU;;;13940;MOLLEGES;13064;FRANCE;DISTRIB TIMBRE;1;;43.805227,4.948991
06110A;339360;VILLENAVE D ORNON PRINCIPAL;1 RUE JEAN LECOINTE;;;33140;VILLENAVE D ORNON;33550;FRANCE;NBC1I NABANCO IER;1;;44.782126,-0.566672
14167A;750010;PARIS PLACE GAMBETTA BP;7 PLACE GAMBETTA;;;75020;PARIS;75120;FRANCE;LISA 2;2;;48.864778,2.397904
06115A;339410;PESSAC ALOUETTE;31 BIS AVENUE DU GENERAL LECLERC;;;33600;PESSAC;33318;FRANCE;DAB;1;;44.79607,-0.666997
14168A;750230;PARIS LAUMIERE;10 AVENUE DE LAUMIERE;;;75019;PARIS;75119;FRANCE;NAB1W NABUCCO WINCOR;1;;48.883521,2.381078
06129A;339570;LEGE BOURG BP;84 AVENUE DE LA MAIRIE;;;33950;LEGE CAP FERRET;33236;FRANCE;DAB;1;Externe;44.795541,-1.146595
14168A;750230;PARIS LAUMIERE;10 AVENUE DE LAUMIERE;;;75019;PARIS;75119;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;48.883521,2.381078
06145A;339760;BORDEAUX GRAND PARC BP;PLACE DE L EUROPE;CITE DU GRAND PARC;;33300;BORDEAUX;33063;FRANCE;CPT BILLET;1;;44.859531,-0.580308
14171A;750560;PARIS PARMENTIER BP;7 AVENUE PARMENTIER;;;75011;PARIS;75111;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;48.859383,2.379073
06151A;340030;AGDE;1 AVENUE DU 8 MAI 1945;;;34300;AGDE;34003;FRANCE;NAB1I NABUCCO IER;1;;43.315452,3.4721
14172A;750640;PARIS BROCHANT;141 AVENUE DE CLICHY;;;75017;PARIS;75117;FRANCE;DAB;2;Interne;48.891076,2.319275
06151A;340030;AGDE;1 AVENUE DU 8 MAI 1945;;;34300;AGDE;34003;FRANCE;NBC1I NABANCO IER;1;;43.315452,3.4721
14172A;750640;PARIS BROCHANT;141 AVENUE DE CLICHY;;;75017;PARIS;75117;FRANCE;NBC1I NABANCO IER;2;;48.891076,2.319275
06169A;340280;BEDARIEUX;PLACE ALBERT THOMAS;;;34600;BEDARIEUX;34028;FRANCE;CPT BILLET;1;;43.615454,3.158064
14173A;750970;PARIS TAHITI BP;68 BOULEVARD DE REUILLY;;;75012;PARIS;75112;FRANCE;CHANGEUR MONNAIE;1;;48.839408,2.398458
06172A;340320;BEZIERS CLEMENCEAU;106 AVENUE GEORGES CLEMENCEAU;;;34500;BEZIERS;34032;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.349569,3.221882
14178A;751120;PARIS MINISTERE DES FINANCES BP;139 RUE DE BERCY;BATIMENT B;;75012;PARIS;75112;FRANCE;DAB;1;Interne;48.841025,2.377966
06172A;340320;BEZIERS CLEMENCEAU;106 AVENUE GEORGES CLEMENCEAU;;;34500;BEZIERS;34032;FRANCE;DAB;2;Externe;43.349569,3.221882
14178A;751120;PARIS MINISTERE DES FINANCES BP;139 RUE DE BERCY;BATIMENT B;;75012;PARIS;75112;FRANCE;LISA 2;1;;48.841025,2.377966
06172A;340320;BEZIERS CLEMENCEAU;106 AVENUE GEORGES CLEMENCEAU;;;34500;BEZIERS;34032;FRANCE;DAB;1;;43.349569,3.221882
14189A;751330;PARIS FRANCOIS BONVIN BP;8 RUE FRANCOIS BONVIN;;;75015;PARIS;75115;FRANCE;CPT BILLET;2;;48.845684,2.305066
06172A;340320;BEZIERS CLEMENCEAU;106 AVENUE GEORGES CLEMENCEAU;;;34500;BEZIERS;34032;FRANCE;NAB1I NABUCCO IER;1;;43.349569,3.221882
14189A;751330;PARIS FRANCOIS BONVIN BP;8 RUE FRANCOIS BONVIN;;;75015;PARIS;75115;FRANCE;LISA 2;3;;48.845684,2.305066
06187A;340570;CASTELNAU LE LEZ;2 PLACE PIERRE MENDES FRANCE;;;34170;CASTELNAU LE LEZ;34057;FRANCE;CPT BILLET;1;;43.632331,3.897402
14189A;751330;PARIS FRANCOIS BONVIN BP;8 RUE FRANCOIS BONVIN;;;75015;PARIS;75115;FRANCE;NBC1I NABANCO IER;1;;48.845684,2.305066
06187A;340570;CASTELNAU LE LEZ;2 PLACE PIERRE MENDES FRANCE;;;34170;CASTELNAU LE LEZ;34057;FRANCE;LISA 2;1;;43.632331,3.897402
14190A;751350;PARIS PATAY BP;26 RUE DE PATAY;;;75013;PARIS;75113;FRANCE;NBC1I NABANCO IER;1;;48.825187,2.375352
06192A;340620;MONTPELLIER LES ARCEAUX BP;16 RUE SAINT LOUIS;;;34000;MONTPELLIER;34172;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.610968,3.866678
14191A;751420;PARIS PLAISANCE BP;180 RUE RAYMOND LOSSERAND;;;75014;PARIS;75114;FRANCE;CPT BILLET;2;;48.829634,2.309381
06192A;340620;MONTPELLIER LES ARCEAUX BP;16 RUE SAINT LOUIS;;;34000;MONTPELLIER;34172;FRANCE;CPT BILLET;2;;43.610968,3.866678
14196A;751560;PARIS BRECHE AUX LOUPS LACHAMBAUDIE BP;11 RUE DE WATTIGNIES;;;75012;PARIS;75112;FRANCE;DAB;1;Externe;48.83678,2.39285
06192A;340620;MONTPELLIER LES ARCEAUX BP;16 RUE SAINT LOUIS;;;34000;MONTPELLIER;34172;FRANCE;DAB;1;Externe;43.610968,3.866678
14196A;751560;PARIS BRECHE AUX LOUPS LACHAMBAUDIE BP;11 RUE DE WATTIGNIES;;;75012;PARIS;75112;FRANCE;NBC1I NABANCO IER;1;;48.83678,2.39285
06196A;340670;MONTPELLIER BEAUX ARTS BP;33 RUE DE LA CAVALERIE;;;34000;MONTPELLIER;34172;FRANCE;CPT BILLET;1;;43.617219,3.881256
14196A;751560;PARIS BRECHE AUX LOUPS LACHAMBAUDIE BP;11 RUE DE WATTIGNIES;;;75012;PARIS;75112;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;48.83678,2.39285
06205A;340770;CLAPIERS BP;5 PLACE MAX LEENHARDT;;;34830;CLAPIERS;34077;FRANCE;URNE;1;;43.657157,3.885678
14202A;751760;PARIS SAINT MAUR BP;113 RUE OBERKAMPF;;;75011;PARIS;75111;FRANCE;CPT BILLET;2;;48.86591,2.378146
06207A;340790;CLERMONT L HERAULT;4 ALLEE ROGER SALENGRO;;;34800;CLERMONT L HERAULT;34079;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.626776,3.434752
14202A;751760;PARIS SAINT MAUR BP;113 RUE OBERKAMPF;;;75011;PARIS;75111;FRANCE;LISA 2;1;;48.86591,2.378146
06207A;340790;CLERMONT L HERAULT;4 ALLEE ROGER SALENGRO;;;34800;CLERMONT L HERAULT;34079;FRANCE;NBC1I NABANCO IER;1;;43.626776,3.434752
14203A;751770;PARIS PHILIPPE DE GIRARD BP;18 BOULEVARD DE LA CHAPELLE;;;75018;PARIS;75118;FRANCE;CPT BILLET;2;;48.884539,2.36258
06215A;340900;LE CRES BP;AVENUE DES BALEARES;;;34920;LE CRES;34090;FRANCE;CPT BILLET;1;;43.651751,3.944645
14205A;751910;PARIS LA GOUTTE D OR BP;11 RUE DES ISLETTES;;;75018;PARIS;75118;FRANCE;CPT BILLET;1;;48.88476,2.350682
06215A;340900;LE CRES BP;AVENUE DES BALEARES;;;34920;LE CRES;34090;FRANCE;URNE;1;;43.651751,3.944645
14205A;751910;PARIS LA GOUTTE D OR BP;11 RUE DES ISLETTES;;;75018;PARIS;75118;FRANCE;NBC1I NABANCO IER;1;;48.88476,2.350682
06225A;341080;FRONTIGNAN MISTRAL;RUE FREDERIC MISTRAL;;;34110;FRONTIGNAN;34108;FRANCE;DAB;1;Externe;43.447733,3.752698
14210A;752590;PARIS SAINT BLAISE BP;37 RUE MOURAUD;;;75020;PARIS;75120;FRANCE;NBC1I NABANCO IER;1;;48.856177,2.408635
06225A;341080;FRONTIGNAN MISTRAL;RUE FREDERIC MISTRAL;;;34110;FRONTIGNAN;34108;FRANCE;LISA 2;2;;43.447733,3.752698
14214A;753130;PARIS MOZART BP;28 AVENUE MOZART;;;75016;PARIS;75116;FRANCE;URNE;1;;48.856504,2.271529
06225A;341080;FRONTIGNAN MISTRAL;RUE FREDERIC MISTRAL;;;34110;FRONTIGNAN;34108;FRANCE;NBC1I NABANCO IER;1;;43.447733,3.752698
14217A;753700;PARIS RIVE GAUCHE BP;RUE OLIVIER MESSIAEN;;;75013;PARIS;75113;FRANCE;DAB;2;Interne;48.830315,2.378456
06230A;341140;GIGNAC;PLACE MARECHAL FOCH;;;34150;GIGNAC;34114;FRANCE;URNE;1;;43.656203,3.550299
14220A;754270;PARIS VOLONTAIRES FRANCOIS BONVIN;204 RUE DE VAUGIRARD;20 30 RUE COPREAU;;75015;PARIS;75115;FRANCE;LISA 2;2;;48.841372,2.306854
06231A;341160;GRABELS BP;3 ROUTE DE MONTPELLIER;;;34790;GRABELS;34116;FRANCE;LISA 2;1;;43.646859,3.802319
14220A;754270;PARIS VOLONTAIRES FRANCOIS BONVIN;204 RUE DE VAUGIRARD;20 30 RUE COPREAU;;75015;PARIS;75115;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;48.841372,2.306854
06234A;341200;JACOU BP;6 AVENUE DE VENDARGUES;;;34830;JACOU;34120;FRANCE;DAB;1;Externe;43.659184,3.91229
14222A;755000;PARIS LOUVRE;16 RUE ETIENNE MARCEL;;;75002;PARIS;75102;FRANCE;CPT BILLET;3;;48.864065,2.348627
06236A;341230;JUVIGNAC;ROUTE DE SAINT GEORGES D ORQUES;CENTRE COMMERCIAL LES PORTES DU SOLEIL;;34990;JUVIGNAC;34123;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.612016,3.807368
14222A;755000;PARIS LOUVRE;16 RUE ETIENNE MARCEL;;;75002;PARIS;75102;FRANCE;LISA 2;8;;48.864065,2.348627
06236A;341230;JUVIGNAC;ROUTE DE SAINT GEORGES D ORQUES;CENTRE COMMERCIAL LES PORTES DU SOLEIL;;34990;JUVIGNAC;34123;FRANCE;URNE;1;;43.612016,3.807368
14225D;064540;ANTIBES SAINT CLAUDE RP;CHEMIN DE SAINT CLAUDE;;;06600;ANTIBES;06004;FRANCE;NBC1I NABANCO IER;1;;43.598549,7.101899
06239A;341290;LATTES;607 AVENUE DE MONTPELLIER;;;34970;LATTES;34129;FRANCE;DAB;1;;43.568633,3.904181
14226A;755060;PARIS CHERCHE MIDI;111 RUE DE SEVRES;;;75006;PARIS;75106;FRANCE;DAB;2;Interne;48.848081,2.319983
06247A;341420;LODEVE BP;3 PLACE DU MARCHE;;;34700;LODEVE;34142;FRANCE;DAB;1;Externe;43.730419,3.320753
14227A;755070;PARIS ECOLE MILITAIRE;60 RUE CLER;;;75007;PARIS;75107;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;48.855606,2.306901
06247A;341420;LODEVE BP;3 PLACE DU MARCHE;;;34700;LODEVE;34142;FRANCE;URNE;1;;43.730419,3.320753
14230A;755100;PARIS MAGENTA;158 RUE DU FAUBOURG SAINT MARTIN;;;75010;PARIS;75110;FRANCE;LISA 2;3;;48.876313,2.360758
06250A;341450;LUNEL TIVOLI;50 RUE TIVOLI;;;34400;LUNEL;34145;FRANCE;CPT BILLET;1;;43.672792,4.131557
14230A;755100;PARIS MAGENTA;158 RUE DU FAUBOURG SAINT MARTIN;;;75010;PARIS;75110;FRANCE;NBC1I NABANCO IER;1;;48.876313,2.360758
06252A;341470;MAGALAS BP;AVENUE DE LA GARE;;;34480;MAGALAS;34147;FRANCE;URNE;1;;43.469083,3.224871
14231A;755110;PARIS POPINCOURT BP;21 RUE BREGUET;;;75011;PARIS;75111;FRANCE;NBC1I NABANCO IER;1;;48.857745,2.374026
06254A;341500;MARSEILLAN BP;PLACE DU THEATRE;;;34340;MARSEILLAN;34150;FRANCE;LISA 2;1;;43.353589,3.529816
14231A;755110;PARIS POPINCOURT BP;21 RUE BREGUET;;;75011;PARIS;75111;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;48.857745,2.374026
06255A;341510;MARSILLARGUES BP;BOULEVARD GABRIEL PERI;;;34590;MARSILLARGUES;34151;FRANCE;DAB;1;Externe;43.665302,4.176698
14232A;755120;PARIS REUILLY;30 RUE DE REUILLY;;;75012;PARIS;75112;FRANCE;LISA 2;3;;48.846702,2.387262
06258A;341550;MAUREILHAN BP;3 RUE PIERRE FLOURENS;;;34370;MAUREILHAN;34155;FRANCE;URNE;1;;43.358225,3.1208
14235A;755150;PARIS CONVENTION;204 BIS RUE DE LA CONVENTION;;;75015;PARIS;75115;FRANCE;DAB;1;Externe;48.836928,2.29712
06259A;341570;MEZE BP;AVENUE GENERAL DE GAULLE;;;34140;MEZE;34157;FRANCE;CPT BILLET;1;;43.426023,3.602759
14235A;755150;PARIS CONVENTION;204 BIS RUE DE LA CONVENTION;;;75015;PARIS;75115;FRANCE;LISA 2;3;;48.836928,2.29712
06259A;341570;MEZE BP;AVENUE GENERAL DE GAULLE;;;34140;MEZE;34157;FRANCE;DAB;1;Externe;43.426023,3.602759
14236A;755160;PARIS PASSY;40 RUE SINGER;;;75016;PARIS;75116;FRANCE;DAB;1;Externe;48.856746,2.276123
06259A;341570;MEZE BP;AVENUE GENERAL DE GAULLE;;;34140;MEZE;34157;FRANCE;NBC1I NABANCO IER;1;;43.426023,3.602759
14236A;755160;PARIS PASSY;40 RUE SINGER;;;75016;PARIS;75116;FRANCE;DAB;2;Interne;48.856746,2.276123
06261A;341590;MIREVAL BP;14 BOULEVARD LOUIS PASTEUR;;;34110;MIREVAL;34159;FRANCE;DAB;1;Externe;43.507952,3.80233
14236A;755160;PARIS PASSY;40 RUE SINGER;;;75016;PARIS;75116;FRANCE;LISA 2;3;;48.856746,2.276123
06271A;341720;MONTPELLIER RONDELET;15 RUE RONDELET;;;34000;MONTPELLIER;34172;FRANCE;DAB;2;Externe;43.604819,3.875115
14237A;755170;PARIS 17 WAGRAM;108 AVENUE DE WAGRAM;;;75017;PARIS;75117;FRANCE;CPT BILLET;1;;48.883335,2.302232
06287A;341930;MONTPELLIER ALCO BP;ALLEE DE LA GARDIOLE;LA PERGOLA ESCALIER E;;34080;MONTPELLIER;34172;FRANCE;CPT BILLET;1;;43.617633,3.836995
14237A;755170;PARIS 17 WAGRAM;108 AVENUE DE WAGRAM;;;75017;PARIS;75117;FRANCE;LISA 2;4;;48.883335,2.302232
06288A;341940;PAULHAN BP;20 AVENUE PAUL PELISSE;;;34230;PAULHAN;34194;FRANCE;NBC1I NABANCO IER;1;;43.538792,3.45862
14237A;755170;PARIS 17 WAGRAM;108 AVENUE DE WAGRAM;;;75017;PARIS;75117;FRANCE;NAB1W NABUCCO WINCOR;2;;48.883335,2.302232
06290A;341980;PEROLS LA NORIA BP;15 PLACE GEORGES BRASSENS;BATIMENT A LA NORIA;;34470;PEROLS;34198;FRANCE;DAB;1;Externe;43.564769,3.955256
14237A;755170;PARIS 17 WAGRAM;108 AVENUE DE WAGRAM;;;75017;PARIS;75117;FRANCE;NBC1I NABANCO IER;1;;48.883335,2.302232
06291A;341990;PEZENAS;PLACE DU 14 JUILLET;;;34120;PEZENAS;34199;FRANCE;DAB;1;Externe;43.460939,3.424685
